State Legislative District,Office,Candidate,Party,Votes
House 120,Governor,LIB,Mark Tippetts,791
House 120,Governor,REP,Greg Abbott,15750
House 121,Governor,,OVER VOTES,0
House 121,Governor,,UNDER VOTES,623
House 121,Governor,DEM,Lupe Valdez,30935
House 121,Governor,LIB,Mark Tippetts,1499
House 121,Governor,REP,Greg Abbott,41226
House 122,Governor,,OVER VOTES,0
House 122,Governor,,UNDER VOTES,645
House 122,Governor,DEM,Lupe Valdez,34307
House 122,Governor,LIB,Mark Tippetts,1637
House 122,Governor,REP,Greg Abbott,59159
House 123,Governor,,OVER VOTES,0
House 123,Governor,,UNDER VOTES,595
House 123,Governor,DEM,Lupe Valdez,31227
House 123,Governor,LIB,Mark Tippetts,961
House 123,Governor,REP,Greg Abbott,17142
House 124,Governor,,OVER VOTES,0
House 124,Governor,,UNDER VOTES,451
House 124,Governor,DEM,Lupe Valdez,28443
House 124,Governor,LIB,Mark Tippetts,872
House 124,Governor,REP,Greg Abbott,18276
House 125,Governor,,OVER VOTES,1
House 125,Governor,,UNDER VOTES,519
House 125,Governor,DEM,Lupe Valdez,28298
House 125,Governor,LIB,Mark Tippetts,835
House 125,Governor,REP,Greg Abbott,18805
House 126,Governor,,OVERVOTES,1
House 126,Governor,,UNDERVOTES,494
House 126,Governor,DEM,Lupe Valdez,23752
House 126,Governor,LIB,Mark Jay Tippetts,759
House 126,Governor,REP,Greg Abbott,31357
House 127,Governor,,OVERVOTES,1
House 127,Governor,,UNDERVOTES,455
House 127,Governor,DEM,Lupe Valdez,23822
House 127,Governor,LIB,Mark Jay Tippetts,918
House 127,Governor,REP,Greg Abbott,44056
House 128,Governor,,OVERVOTES,0
House 128,Governor,,UNDERVOTES,343
House 128,Governor,DEM,Lupe Valdez,15223
House 128,Governor,LIB,Mark Jay Tippetts,657
House 128,Governor,REP,Greg Abbott,36535
House 129,Governor,,OVERVOTES,1
House 129,Governor,,UNDERVOTES,568
House 129,Governor,DEM,Lupe Valdez,25512
House 129,Governor,LIB,Mark Jay Tippetts,1080
House 129,Governor,REP,Greg Abbott,38705
House 130,Governor,,OVERVOTES,0
House 130,Governor,,UNDERVOTES,471
House 130,Governor,DEM,Lupe Valdez,21776
House 130,Governor,LIB,Mark Jay Tippetts,1037
House 130,Governor,REP,Greg Abbott,53923
House 131,Governor,,OVERVOTES,3
House 131,Governor,,UNDERVOTES,515
House 131,Governor,DEM,Lupe Valdez,33895
House 131,Governor,LIB,Mark Jay Tippetts,479
House 131,Governor,REP,Greg Abbott,7753
House 132,Governor,,OVERVOTES,1
House 132,Governor,,UNDERVOTES,487
House 132,Governor,DEM,Lupe Valdez,31028
House 132,Governor,LIB,Mark Jay Tippetts,925
House 132,Governor,REP,Greg Abbott,35072
House 133,Governor,,OVERVOTES,3
House 133,Governor,,UNDERVOTES,713
House 133,Governor,DEM,Lupe Valdez,26444
House 133,Governor,LIB,Mark Jay Tippetts,1281
House 133,Governor,REP,Greg Abbott,44436
House 134,Governor,,OVERVOTES,1
House 134,Governor,,UNDERVOTES,1251
House 134,Governor,DEM,Lupe Valdez,45424
House 134,Governor,LIB,Mark Jay Tippetts,1975
House 134,Governor,REP,Greg Abbott,42755
House 135,Governor,,OVERVOTES,3
House 135,Governor,,UNDERVOTES,436
House 135,Governor,DEM,Lupe Valdez,26674
House 135,Governor,LIB,Mark Jay Tippetts,856
House 135,Governor,REP,Greg Abbott,28839
House 136,Governor,,Over Votes,0
House 136,Governor,,Under Votes,652
House 136,Governor,DEM,Lupe Valdez,39498
House 136,Governor,LIB,Mark Jay Tippetts,2361
House 136,Governor,REP,Greg Abbott,37284
House 137,Governor,,OVERVOTES,0
House 137,Governor,,UNDERVOTES,323
House 137,Governor,DEM,Lupe Valdez,15771
House 137,Governor,LIB,Mark Jay Tippetts,398
House 137,Governor,REP,Greg Abbott,8260
House 138,Governor,,OVERVOTES,1
House 138,Governor,,UNDERVOTES,511
House 138,Governor,DEM,Lupe Valdez,22756
House 138,Governor,LIB,Mark Jay Tippetts,839
House 138,Governor,REP,Greg Abbott,25237
House 139,Governor,,OVERVOTES,2
House 139,Governor,,UNDERVOTES,526
House 139,Governor,DEM,Lupe Valdez,34327
House 139,Governor,LIB,Mark Jay Tippetts,665
House 139,Governor,REP,Greg Abbott,12432
House 140,Governor,,OVERVOTES,0
House 140,Governor,,UNDERVOTES,393
House 140,Governor,DEM,Lupe Valdez,17317
House 140,Governor,LIB,Mark Jay Tippetts,207
House 140,Governor,REP,Greg Abbott,6203
House 141,Governor,,OVERVOTES,1
House 141,Governor,,UNDERVOTES,338
House 141,Governor,DEM,Lupe Valdez,26092
House 141,Governor,LIB,Mark Jay Tippetts,327
House 141,Governor,REP,Greg Abbott,5130
House 142,Governor,,OVERVOTES,5
House 142,Governor,,UNDERVOTES,399
House 142,Governor,DEM,Lupe Valdez,29206
House 142,Governor,LIB,Mark Jay Tippetts,476
House 142,Governor,REP,Greg Abbott,10257
House 143,Governor,,OVERVOTES,0
House 143,Governor,,UNDERVOTES,446
House 143,Governor,DEM,Lupe Valdez,19794
House 143,Governor,LIB,Mark Jay Tippetts,263
House 143,Governor,REP,Greg Abbott,8787
House 144,Governor,,OVERVOTES,0
House 144,Governor,,UNDERVOTES,338
House 144,Governor,DEM,Lupe Valdez,13448
House 144,Governor,LIB,Mark Jay Tippetts,255
House 144,Governor,REP,Greg Abbott,9827
House 145,Governor,,OVERVOTES,2
House 145,Governor,,UNDERVOTES,436
House 145,Governor,DEM,Lupe Valdez,21688
House 145,Governor,LIB,Mark Jay Tippetts,495
House 145,Governor,REP,Greg Abbott,10984
House 146,Governor,,OVERVOTES,5
House 146,Governor,,UNDERVOTES,552
House 146,Governor,DEM,Lupe Valdez,33147
House 146,Governor,LIB,Mark Jay Tippetts,645
House 146,Governor,REP,Greg Abbott,9957
House 147,Governor,,OVERVOTES,5
House 147,Governor,,UNDERVOTES,536
House 147,Governor,DEM,Lupe Valdez,42380
House 147,Governor,LIB,Mark Jay Tippetts,1018
House 147,Governor,REP,Greg Abbott,12261
House 148,Governor,,OVERVOTES,3
House 148,Governor,,UNDERVOTES,688
House 148,Governor,DEM,Lupe Valdez,29336
House 148,Governor,LIB,Mark Jay Tippetts,1071
House 148,Governor,REP,Greg Abbott,17932
House 149,Governor,,OVERVOTES,3
House 149,Governor,,UNDERVOTES,553
House 149,Governor,DEM,Lupe Valdez,23344
House 149,Governor,LIB,Mark Jay Tippetts,514
House 149,Governor,REP,Greg Abbott,15383
House 150,Governor,,OVERVOTES,0
House 150,Governor,,UNDERVOTES,507
House 150,Governor,DEM,Lupe Valdez,26648
House 150,Governor,LIB,Mark Jay Tippetts,954
House 150,Governor,REP,Greg Abbott,43738
Senate 2,Governor,,Cast Votes,8814
Senate 2,Governor,,Greg Abbott,1606
Senate 2,Governor,,Lupe Valdez,301
Senate 2,Governor,,Mark Jay Tippetts,29
Senate 2,Governor,,OVER VOTES,2
Senate 2,Governor,,Over Votes,13
Senate 2,Governor,,Overvotes,0
Senate 2,Governor,,UNDER VOTES,263
Senate 2,Governor,,Under Votes,1031
Senate 2,Governor,,Undervotes,14
Senate 2,Governor,DEM,LUPE VALDEZ,1767
Senate 2,Governor,DEM,Lupe Valdez,92695
Senate 2,Governor,LIB,MARK JAY TIPPETTS,131
Senate 2,Governor,LIB,Mark Jay Tippetts,4136
Senate 2,Governor,REP,GREG ABBOTT,8856
Senate 2,Governor,REP,Greg Abbott,156391
Senate 2,Governor,REP,Over Votes,0
Senate 2,Governor,REP,Under Votes,93
Senate 3,Governor,,Greg Abbott,6132
Senate 3,Governor,,Lupe Valdez,1366
Senate 3,Governor,,Mark Jay Tippetts,44
Senate 3,Governor,,OVER VOTES,3
Senate 3,Governor,,Over Votes,8
Senate 3,Governor,,UNDER VOTES,334
Senate 3,Governor,,Under Votes,1021
Senate 3,Governor,DEM,Lupe Valdez,51134
Senate 3,Governor,LIB,Mark Jay Tippetts,2651
Senate 3,Governor,REP,Greg Abbott,216977
Senate 5,Governor,,Greg Abbott,6674
Senate 5,Governor,,Lupe Valdez,1855
Senate 5,Governor,,Mark Jay Tippetts,102
Senate 5,Governor,,OVER VOTES,1
Senate 5,Governor,,Over Votes,0
Senate 5,Governor,,UNDER VOTES,218
Senate 5,Governor,,Under Votes,701
Senate 5,Governor,DEM,Lupe Valdez,36040
Senate 5,Governor,LIB,Mark Jay Tippetts,1985
Senate 5,Governor,REP,Greg Abbott,81144
Senate 7,Governor,,OVERVOTES,5
Senate 7,Governor,,UNDERVOTES,2336
Senate 7,Governor,DEM,Lupe Valdez,119227
Senate 7,Governor,LIB,Mark Jay Tippetts,4384
Senate 7,Governor,REP,Greg Abbott,185874
Senate 8,Governor,,OVER VOTES,23
Senate 8,Governor,,Over Votes,2
Senate 8,Governor,,UNDER VOTES,2891
Senate 8,Governor,,Under Votes,454
Senate 8,Governor,DEM,Lupe Valdez,145988
Senate 8,Governor,LIB,Mark Jay Tippetts,6529
Senate 8,Governor,REP,Greg Abbott,186618
Senate 9,Governor,,Over Votes,19
Senate 9,Governor,,Under Votes,2504
Senate 9,Governor,DEM,Lupe Valdez,106504
Senate 9,Governor,LIB,Mark Jay Tippetts,4737
Senate 9,Governor,REP,Greg Abbott,137538
Senate 10,Governor,,Over Votes,15
Senate 10,Governor,,Under Votes,3107
Senate 10,Governor,DEM,Lupe Valdez,136924
Senate 10,Governor,LIB,Mark Jay Tippetts,5168
Senate 10,Governor,REP,Greg Abbott,148751
Senate 14,Governor,DEM,Lupe Valdez,10407
Senate 14,Governor,LIB,Mark Jay Tippetts,640
Senate 14,Governor,REP,Greg Abbott,16351
Senate 15,Governor,,OVERVOTES,5
Senate 15,Governor,,UNDERVOTES,2531
Senate 15,Governor,DEM,Lupe Valdez,144021
Senate 15,Governor,LIB,Mark Jay Tippetts,4039
Senate 15,Governor,REP,Greg Abbott,88786
Senate 16,Governor,,Over Votes,19
Senate 16,Governor,,Under Votes,3329
Senate 16,Governor,DEM,Lupe Valdez,139742
Senate 16,Governor,LIB,Mark Jay Tippetts,6382
Senate 16,Governor,REP,Greg Abbott,151690
Senate 17,Governor,,OVERVOTES,6
Senate 17,Governor,,Over Votes,1
Senate 17,Governor,,UNDERVOTES,2203
Senate 17,Governor,,Under Votes,1268
Senate 17,Governor,DEM,Lupe Valdez,138731
Senate 17,Governor,LIB,Mark Jay Tippetts,5253
Senate 17,Governor,REP,Greg Abbott,167347
Senate 23,Governor,,Over Votes,49
Senate 23,Governor,,Under Votes,2273
Senate 23,Governor,DEM,Lupe Valdez,176391
Senate 23,Governor,LIB,Mark Jay Tippetts,4664
Senate 23,Governor,REP,Greg Abbott,46198
Senate 25,Governor,,OVER VOTES,0
Senate 25,Governor,,UNDER VOTES,1569
Senate 25,Governor,,Under Votes,238
Senate 25,Governor,DEM,Lupe Valdez,134644
Senate 25,Governor,LIB,Mark Jay Tippetts,3667
Senate 25,Governor,LIB,Mark Tippetts,3596
Senate 25,Governor,REP,Greg Abbott,233565
Senate 30,Governor,,Cast Votes,18860
Senate 30,Governor,,OVER VOTES,4
Senate 30,Governor,,Over Votes,8
Senate 30,Governor,,Overvotes,0
Senate 30,Governor,,UNDER VOTES,502
Senate 30,Governor,,Under Votes,1384
Senate 30,Governor,,Undervotes,108
Senate 30,Governor,DEM,Lupe Valdez,77438
Senate 30,Governor,LIB,Mark Jay Tippetts,4923
Senate 30,Governor,REP,Greg Abbott,237525
Senate 30,Governor,REP,Greg Abbott ,12284
Senate 31,Governor,,Gregg Abbott,2788
Senate 31,Governor,,Lupe Valdez,957
Senate 31,Governor,,Mark Jay Tippetts ,28
Senate 31,Governor,,OVER VOTES,0
Senate 31,Governor,,Over Votes,0
Senate 31,Governor,,UNDER VOTES,118
Senate 31,Governor,,Under Votes,680
Senate 31,Governor,DEM,Lupe  Valdez,704
Senate 31,Governor,DEM,Lupe Valdez,38979
Senate 31,Governor,LIB,Mark Jay Tippetts,2900
Senate 31,Governor,LIB,Mark Jay Tippetts ,33
Senate 31,Governor,REP,Greg  Abbott,3509
Senate 31,Governor,REP,Greg Abbott,164285
Senate 31,Governor,REP,Gregg Abbott,550
Senate 31,Governor,REP,Over Votes,1
Senate 31,Governor,REP,Under Votes,50
House 1,Lieutenant Governor,,OVER VOTES,1
House 1,Lieutenant Governor,,UNDER VOTES,205
House 1,Lieutenant Governor,DEM,Mike Collier,14463
House 1,Lieutenant Governor,LIB,Kerry Douglas McKennon,814
House 1,Lieutenant Governor,REP,Dan Patrick,37625
House 2,Lieutenant Governor,DEM,Mike Collier,12802
House 2,Lieutenant Governor,LIB,Kerry Douglas McKennon,992
House 2,Lieutenant Governor,REP,Dan Patrick,44203
House 3,Lieutenant Governor,,Over Votes,0
House 3,Lieutenant Governor,,Under Votes,397
House 3,Lieutenant Governor,DEM,Mike Collier,15881
House 3,Lieutenant Governor,LIB,Kerry Douglas McKennon,1087
House 3,Lieutenant Governor,REP,Dan Patrick,47583
House 4,Lieutenant Governor,,OVER VOTES,1
House 4,Lieutenant Governor,,Over Votes,0
House 4,Lieutenant Governor,,UNDER VOTES,196
House 4,Lieutenant Governor,,Under Votes,266
House 4,Lieutenant Governor,DEM,Mike Collier,16379
House 4,Lieutenant Governor,LIB,Kerry Douglas McKennon,1125
House 4,Lieutenant Governor,REP,Dan Patrick,43297
House 5,Lieutenant Governor,,Cast Votes,8786
House 5,Lieutenant Governor,,Overvotes,0
House 5,Lieutenant Governor,,Undervotes,38
House 5,Lieutenant Governor,DEM,Mike  Collier,1289
House 5,Lieutenant Governor,DEM,Mike Collier,18966
House 5,Lieutenant Governor,LIB,Kerry Douglas McKennon,1317
House 5,Lieutenant Governor,REP,Dan  Patrick,2544
House 5,Lieutenant Governor,REP,Dan Patrick,58530
House 6,Lieutenant Governor,DEM,Mike Collier,34524
House 6,Lieutenant Governor,LIB,Kerry Douglas McKennon,2054
House 6,Lieutenant Governor,REP,Dan Patrick,76177
House 7,Lieutenant Governor,,Over Votes,0
House 7,Lieutenant Governor,,Under Votes,166
House 7,Lieutenant Governor,DEM,MIKE COLLIER,11571
House 7,Lieutenant Governor,DEM,Mike Collier,2890
House 7,Lieutenant Governor,LIB,KERRY DOUGLAS McKENNON,671
House 7,Lieutenant Governor,LIB,Kerry Douglas McKennon,286
House 7,Lieutenant Governor,REP,DAN PATRICK,23625
House 7,Lieutenant Governor,REP,Dan Patrick,10780
House 8,Lieutenant Governor,,OVER VOTES,0
House 8,Lieutenant Governor,,UNDER VOTES,98
House 8,Lieutenant Governor,DEM,Mike Collier,12186
House 8,Lieutenant Governor,LIB,Kerry Douglas McKennon,811
House 8,Lieutenant Governor,REP,Dan Patrick,36717
House 9,Lieutenant Governor,,Dan Patrick,5728
House 9,Lieutenant Governor,,Kerry Douglas McKennon,91
House 9,Lieutenant Governor,,Mike Collier,1655
House 9,Lieutenant Governor,,Over Votes,8
House 9,Lieutenant Governor,,Under Votes,355
House 9,Lieutenant Governor,DEM,Mike Collier,12633
House 9,Lieutenant Governor,LIB,Kerry Douglas McKennon,647
House 9,Lieutenant Governor,REP,Dan Patrick,35642
House 10,Lieutenant Governor,,Over Votes,0
House 10,Lieutenant Governor,,Under Votes,60
House 10,Lieutenant Governor,DEM,Mike Collier,19542
House 10,Lieutenant Governor,LIB,Kerry Douglas McKennon,1411
House 10,Lieutenant Governor,REP,Dan Patrick,43343
House 11,Lieutenant Governor,,Over Votes,2
House 11,Lieutenant Governor,,Under Votes,552
House 11,Lieutenant Governor,DEM,Mike Collier,15061
House 11,Lieutenant Governor,LIB,Kerry Douglas McKennon,869
House 11,Lieutenant Governor,REP,Dan Patrick,36491
House 12,Lieutenant Governor,,OVER VOTES,0
House 12,Lieutenant Governor,,Over Votes,1
House 12,Lieutenant Governor,,UNDER VOTES,206
House 12,Lieutenant Governor,,Under Votes,493
House 12,Lieutenant Governor,DEM,Mike  Collier,1465
House 12,Lieutenant Governor,DEM,Mike Collier,15544
House 12,Lieutenant Governor,LIB,Kerry Douglas McKennon,979
House 12,Lieutenant Governor,REP,Dan  Patrick,3128
House 12,Lieutenant Governor,REP,Dan Patrick,28076
House 13,Lieutenant Governor,,Dan Patrick,6259
House 13,Lieutenant Governor,,Kerry Douglas McKennon,163
House 13,Lieutenant Governor,,Mike Collier,2194
House 13,Lieutenant Governor,,OVER VOTES,1
House 13,Lieutenant Governor,,Over Votes,0
House 13,Lieutenant Governor,,UNDER VOTES,222
House 13,Lieutenant Governor,,Under Votes,168
House 13,Lieutenant Governor,DEM,Mike Collier,10300
House 13,Lieutenant Governor,DEM,Mike Collier ,3621
House 13,Lieutenant Governor,LIB,Kerry Douglas McKennon,710
House 13,Lieutenant Governor,LIB,Kerry Douglas McKennon ,225
House 13,Lieutenant Governor,REP,Dan Patrick,35245
House 13,Lieutenant Governor,REP,Dan Patrick ,12854
House 14,Lieutenant Governor,,Over Votes,0
House 14,Lieutenant Governor,,Under Votes,907
House 14,Lieutenant Governor,DEM,Mike Collier,21804
House 14,Lieutenant Governor,LIB,Kerry Douglas McKennon,1640
House 14,Lieutenant Governor,REP,Dan Patrick,24661
House 15,Lieutenant Governor,,Over Votes,1
House 15,Lieutenant Governor,,Under Votes,832
House 15,Lieutenant Governor,DEM,Mike Collier,25736
House 15,Lieutenant Governor,LIB,Kerry Douglas McKennon,1720
House 15,Lieutenant Governor,REP,Dan Patrick,52158
House 16,Lieutenant Governor,,Over Votes,0
House 16,Lieutenant Governor,,Under Votes,671
House 16,Lieutenant Governor,DEM,Mike Collier,13244
House 16,Lieutenant Governor,LIB,Kerry Douglas McKennon,1079
House 16,Lieutenant Governor,REP,Dan Patrick,47958
House 17,Lieutenant Governor,,Overvotes,0
House 17,Lieutenant Governor,,Under Votes,67
House 17,Lieutenant Governor,DEM,Mike Collier,19245
House 17,Lieutenant Governor,IND,Kerry Douglas McKennon,87
House 17,Lieutenant Governor,LIB,K. Douglas McKennon,93
House 17,Lieutenant Governor,LIB,Kerry Douglas McKennon,1153
House 17,Lieutenant Governor,REP,Dan Patrick,29518
House 18,Lieutenant Governor,,Over Votes,2
House 18,Lieutenant Governor,,Under Votes,180
House 18,Lieutenant Governor,DEM,Mike Collier,12147
House 18,Lieutenant Governor,LIB,Kerry Douglas McKennon,454
House 18,Lieutenant Governor,LIB,Kerry McKennon,386
House 18,Lieutenant Governor,REP,Dan Patrick,34577
House 19,Lieutenant Governor,,Over Votes,0
House 19,Lieutenant Governor,,Under Votes,140
House 19,Lieutenant Governor,DEM,Mike Collier,10274
House 19,Lieutenant Governor,LIB,Kerry Douglas McKennon,744
House 19,Lieutenant Governor,REP,Dan Patrick,41994
House 20,Lieutenant Governor,,Over Votes,0
House 20,Lieutenant Governor,,Under Votes,801
House 20,Lieutenant Governor,DEM,Mike Collier,24914
House 20,Lieutenant Governor,LIB,Kerry Douglas McKennon,2074
House 20,Lieutenant Governor,REP,Dan Patrick,55283
House 21,Lieutenant Governor,,OVER VOTES,3
House 21,Lieutenant Governor,,Over Votes,0
House 21,Lieutenant Governor,,UNDER VOTES,245
House 21,Lieutenant Governor,,Under Votes,0
House 21,Lieutenant Governor,DEM,Mike Collier,13462
House 21,Lieutenant Governor,LIB,Kerry Douglas  McKennon,465
House 21,Lieutenant Governor,LIB,Kerry Douglas McKennon,352
House 21,Lieutenant Governor,REP,Dan Patrick,42846
House 22,Lieutenant Governor,,Over Votes,0
House 22,Lieutenant Governor,,Under Votes,0
House 22,Lieutenant Governor,DEM,Mike Collier,28434
House 22,Lieutenant Governor,LIB,Kerry Douglas  McKennon,486
House 22,Lieutenant Governor,REP,Dan Patrick,13933
House 23,Lieutenant Governor,,Over Votes,0
House 23,Lieutenant Governor,,Under Votes,144
House 23,Lieutenant Governor,DEM,Mike Collier,25016
House 23,Lieutenant Governor,LIB,Kerry Douglas McKennon,1244
House 23,Lieutenant Governor,REP,Dan Patrick,32339
House 24,Lieutenant Governor,DEM,Mike Collier,21070
House 24,Lieutenant Governor,LIB,Kerry Douglas McKennon,1512
House 24,Lieutenant Governor,REP,Dan Patrick,46994
House 25,Lieutenant Governor,,Over Votes,0
House 25,Lieutenant Governor,,Under Votes,522
House 25,Lieutenant Governor,DEM,Mike Collier,15147
House 25,Lieutenant Governor,LIB,Kerry Douglas McKennon,1095
House 25,Lieutenant Governor,REP,Dan Patrick,35482
House 26,Lieutenant Governor,,Over Votes,1
House 26,Lieutenant Governor,,Under Votes,1074
House 26,Lieutenant Governor,DEM,Mike Collier,31861
House 26,Lieutenant Governor,LIB,Kerry Douglas McKennon,1102
House 26,Lieutenant Governor,REP,Dan Patrick,33657
House 27,Lieutenant Governor,,Over Votes,1
House 27,Lieutenant Governor,,Under Votes,927
House 27,Lieutenant Governor,DEM,Mike Collier,45617
House 27,Lieutenant Governor,LIB,Kerry Douglas McKennon,1018
House 27,Lieutenant Governor,REP,Dan Patrick,18455
House 28,Lieutenant Governor,,Over Votes,0
House 28,Lieutenant Governor,,Under Votes,996
House 28,Lieutenant Governor,DEM,Mike Collier,37884
House 28,Lieutenant Governor,LIB,Kerry Douglas McKennon,1485
House 28,Lieutenant Governor,REP,Dan Patrick,43498
House 29,Lieutenant Governor,,Over Votes,0
House 29,Lieutenant Governor,,Under Votes,478
House 29,Lieutenant Governor,DEM,Mike Collier,31425
House 29,Lieutenant Governor,LIB,Kerry Douglas McKennon,1400
House 29,Lieutenant Governor,REP,Dan Patrick,37212
House 30,Lieutenant Governor,,Cast Votes:,12168
House 30,Lieutenant Governor,,OVER VOTES,0
House 30,Lieutenant Governor,,Overvotes:,0
House 30,Lieutenant Governor,,UNDER VOTES,355
House 30,Lieutenant Governor,,Undervotes:,182
House 30,Lieutenant Governor,DEM,Mike Collier,14273
House 30,Lieutenant Governor,LIB,Kerry Douglas,190
House 30,Lieutenant Governor,LIB,Kerry Douglas McKennon,773
House 30,Lieutenant Governor,REP,Dan Patrick,38268
House 31,Lieutenant Governor,,Ballots Cast,3810
House 31,Lieutenant Governor,,Dan Patrick,360
House 31,Lieutenant Governor,,Kerry Douglas McKennon,19
House 31,Lieutenant Governor,,Mike Collier,1033
House 31,Lieutenant Governor,,Over Votes,0
House 31,Lieutenant Governor,,Under Votes,640
House 31,Lieutenant Governor,DEM,Mike  Collier,3253
House 31,Lieutenant Governor,DEM,Mike Collier,16366
House 31,Lieutenant Governor,LIB,Kerry Douglas McKennon,687
House 31,Lieutenant Governor,REP,Dan  Patrick,1437
House 31,Lieutenant Governor,REP,Dan Patrick,12490
House 31,Lieutenant Governor,REP,Dan Patrick (Rep Lieutenant Governor),2911
House 32,Lieutenant Governor,,Over Votes,0
House 32,Lieutenant Governor,,Under Votes,932
House 32,Lieutenant Governor,DEM,Mike Collier,23311
House 32,Lieutenant Governor,LIB,Kerry Douglas McKennon,1304
House 32,Lieutenant Governor,REP,Dan Patrick,27333
House 33,Lieutenant Governor,,OVER VOTES,0
House 33,Lieutenant Governor,,UNDER VOTES,971
House 33,Lieutenant Governor,DEM,Mike Collier,30398
House 33,Lieutenant Governor,LIB,K. Douglas McKennon,951
House 33,Lieutenant Governor,LIB,Kerry Douglas McKennon,857
House 33,Lieutenant Governor,REP,Dan Patrick,52178
House 34,Lieutenant Governor,,Over Votes,0
House 34,Lieutenant Governor,,Under Votes,844
House 34,Lieutenant Governor,DEM,Mike Collier,21977
House 34,Lieutenant Governor,LIB,Kerry Douglas McKennon,842
House 34,Lieutenant Governor,REP,Dan Patrick,18295
House 35,Lieutenant Governor,,Over Votes,3
House 35,Lieutenant Governor,,Under Votes,991
House 35,Lieutenant Governor,DEM,Mike Collier,19790
House 35,Lieutenant Governor,LIB,Kerry Douglas McKennon,666
House 35,Lieutenant Governor,REP,Dan Patrick,11416
House 36,Lieutenant Governor,,Over Votes,2
House 36,Lieutenant Governor,,Under Votes,710
House 36,Lieutenant Governor,DEM,Mike Collier,22169
House 36,Lieutenant Governor,LIB,Kerry Douglas McKennon,583
House 36,Lieutenant Governor,REP,Dan Patrick,8528
House 37,Lieutenant Governor,,Over Votes,5
House 37,Lieutenant Governor,,Under Votes,1390
House 37,Lieutenant Governor,DEM,Mike Collier,17482
House 37,Lieutenant Governor,LIB,Kerry Douglas McKennon,884
House 37,Lieutenant Governor,REP,Dan Patrick,9369
House 38,Lieutenant Governor,,Over Votes,12
House 38,Lieutenant Governor,,Under Votes,1273
House 38,Lieutenant Governor,DEM,Mike Collier,20368
House 38,Lieutenant Governor,LIB,Kerry Douglas McKennon,920
House 38,Lieutenant Governor,REP,Dan Patrick,12124
House 39,Lieutenant Governor,,Over Votes,0
House 39,Lieutenant Governor,,Under Votes,871
House 39,Lieutenant Governor,DEM,Mike Collier,21581
House 39,Lieutenant Governor,LIB,Kerry Douglas McKennon,622
House 39,Lieutenant Governor,REP,Dan Patrick,9503
House 40,Lieutenant Governor,,Over Votes,0
House 40,Lieutenant Governor,,Under Votes,734
House 40,Lieutenant Governor,DEM,Mike Collier,20604
House 40,Lieutenant Governor,LIB,Kerry Douglas McKennon,600
House 40,Lieutenant Governor,REP,Dan Patrick,8345
House 41,Lieutenant Governor,,Over Votes,0
House 41,Lieutenant Governor,,Under Votes,714
House 41,Lieutenant Governor,DEM,Mike Collier,23830
House 41,Lieutenant Governor,LIB,Kerry Douglas McKennon,796
House 41,Lieutenant Governor,REP,Dan Patrick,15677
House 42,Lieutenant Governor,DEM,Mike Collier,23694
House 42,Lieutenant Governor,LIB,Kerry Douglas McKennon,842
House 42,Lieutenant Governor,REP,Dan Patrick,9275
House 43,Lieutenant Governor,,Over Votes,4
House 43,Lieutenant Governor,,Under Votes,435
House 43,Lieutenant Governor,DEM,Mike  Collier,2767
House 43,Lieutenant Governor,DEM,Mike Collier,15942
House 43,Lieutenant Governor,LIB,Kerry Douglas McKennon,834
House 43,Lieutenant Governor,REP,Dan  Patrick,4096
House 43,Lieutenant Governor,REP,Dan Patrick,19462
House 44,Lieutenant Governor,,Under Votes,636
House 44,Lieutenant Governor,DEM,Mike Collier,23105
House 44,Lieutenant Governor,LIB,K. Douglas McKennon,356
House 44,Lieutenant Governor,LIB,Kerry McKennon,1275
House 44,Lieutenant Governor,REP,Dan Patrick,47030
House 45,Lieutenant Governor,DEM,Mike Collier,42380
House 45,Lieutenant Governor,Dan Patrick,REP,4066
House 45,Lieutenant Governor,Kerry Douglas McKennon,LIB,144
House 45,Lieutenant Governor,LIB,Kerry Douglas McKennon,2667
House 45,Lieutenant Governor,Mike Collier,DEM,1579
House 45,Lieutenant Governor,REP,Dan Patrick,34014
House 46,Lieutenant Governor,DEM,Mike Collier,46976
House 46,Lieutenant Governor,LIB,Kerry Douglas McKennon,1737
House 46,Lieutenant Governor,REP,Dan Patrick,8794
House 47,Lieutenant Governor,DEM,Mike Collier,55017
House 47,Lieutenant Governor,LIB,Kerry Douglas McKennon,3274
House 47,Lieutenant Governor,REP,Dan Patrick,48214
House 48,Lieutenant Governor,DEM,Mike Collier,63316
House 48,Lieutenant Governor,LIB,Kerry Douglas McKennon,3131
House 48,Lieutenant Governor,REP,Dan Patrick,24343
House 49,Lieutenant Governor,DEM,Mike Collier,75992
House 49,Lieutenant Governor,LIB,Kerry Douglas McKennon,3116
House 49,Lieutenant Governor,REP,Dan Patrick,15114
House 50,Lieutenant Governor,DEM,Mike Collier,49109
House 50,Lieutenant Governor,LIB,Kerry Douglas McKennon,2272
House 50,Lieutenant Governor,REP,Dan Patrick,20196
House 51,Lieutenant Governor,DEM,Mike Collier,47828
House 51,Lieutenant Governor,LIB,Kerry Douglas McKennon,2053
House 51,Lieutenant Governor,REP,Dan Patrick,7587
House 52,Lieutenant Governor,,Over Votes,0
House 52,Lieutenant Governor,,Under Votes,1025
House 52,Lieutenant Governor,DEM,Mike Collier,37443
